edge_id,parent_job_id,child_job_id,dependency_type,max_lag_min,required
EDGE_01,JOB_AWS_CANARY_CHECK,JOB_AWS_EXTRACT_RESERVATION,success,60,true
EDGE_02,JOB_AWS_EXTRACT_RESERVATION,JOB_AWS_DQ_VALIDATION,success,60,true
EDGE_03,JOB_AWS_EXTRACT_RESERVATION,JOB_EDW_GSO_LOAD,data,60,true
EDGE_04,JOB_AWS_PROFILE_LOAD,JOB_EDW_MDM_NSF,data,60,true
EDGE_05,JOB_AWS_PRICING_LOAD,JOB_BWS_AVAIL_API,freshness,60,true
EDGE_06,JOB_EDW_CTRL_LOG,JOB_EDW_MDM_NSF,success,60,true
EDGE_07,JOB_EDW_MDM_NSF,JOB_EDW_LOYALTY_FACT,success,60,true
EDGE_08,JOB_BWS_AUTH_LAMBDA,JOB_BWS_PROMO_API,success,60,true
EDGE_09,JOB_BWS_AUTH_LAMBDA,JOB_BWS_AVAIL_API,success,60,true
EDGE_10,JOB_BWS_AUTH_LAMBDA,JOB_BWS_BOOKING_API,success,60,true
EDGE_11,JOB_EDW_LOYALTY_FACT,JOB_BWS_SFMC_SQS,data,60,false
